,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,underage_drinking,0.0,0,0,0
1,2,drunk_driving,0.0,0,0,0
2,3,buckle_up,0.0,0,1,0
3,4,smartphone,0.0,0,0,0
4,5,pizza,2.0,1,1,0
5,6,furniture,0.0,0,0,0
6,7,hotel,2.0,0,0,0
7,8,drugged_driving,2.0,0,1,0
8,9,education_donation,3.0,0,1,0
9,10,coffee,2.0,0,0,0
10,11,salad,1.0,0,0,0
11,12,burger,2.0,0,0,0
12,13,distracted_driving,0.0,0,0,0
13,14,marijuana_driving,1.0,0,0,0
14,15,lawyer,2.0,0,0,0
15,16,texting_driving,1.0,0,0,0
16,17,stop_smoking,4.0,1,0,0
17,18,disobey_vape,4.0,1,1,0
18,19,brunch,3.0,1,1,0
19,20,binge_drinking,1.0,0,0,0
