,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,furniture,1.0,0,0,1
1,2,smartphone,1.0,0,0,1
2,3,drunk_driving,3.0,0,1,1
3,4,coffee,1.0,0,0,1
4,5,hotel,2.0,0,0,1
5,6,underage_drinking,1.0,0,0,1
6,7,disobey_vape,2.0,0,0,1
7,8,salad,1.0,0,1,1
8,9,education_donation,2.0,0,1,1
9,10,burger,0.0,0,1,1
10,11,buckle_up,1.0,1,1,1
11,12,distracted_driving,2.0,1,1,1
12,13,pizza,1.0,1,1,1
13,14,binge_drinking,1.0,0,0,1
14,15,stop_smoking,1.0,0,1,1
15,16,drugged_driving,0.0,0,1,1
16,17,texting_driving,3.0,1,1,1
17,18,marijuana_driving,2.0,0,1,1
18,19,brunch,2.0,1,1,1
19,20,lawyer,3.0,0,1,1
