,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,texting_driving,2,0,1,0
1,2,burger,1,0,0,0
2,3,drunk_driving,1,0,0,0
3,4,coffee,1,0,0,0
4,5,hotel,1,0,0,0
5,6,disobey_vape,1,1,1,0
6,7,buckle_up,2,1,1,0
7,8,pizza,1,0,1,0
8,9,lawyer,2,0,1,0
9,10,drugged_driving,1,0,0,0
10,11,smartphone,3,0,0,0
11,12,brunch,2,0,1,0
12,13,distracted_driving,2,0,1,0
13,14,salad,3,0,1,0
14,15,stop_smoking,1,1,1,0
15,16,education_donation,1,0,1,0
16,17,underage_drinking,1,0,1,0
17,18,furniture,3,0,1,0
18,19,marijuana_driving,2,0,1,0
19,20,binge_drinking,1,1,1,0
