,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,stop_smoking,0.0,0,0,3
1,2,coffee,0.0,0,0,3
2,3,texting_driving,0.0,0,0,3
3,4,disobey_vape,0.0,0,1,3
4,5,buckle_up,0.0,1,1,3
5,6,hotel,0.0,1,0,3
6,7,salad,0.0,0,0,3
7,8,brunch,0.0,0,1,3
8,9,binge_drinking,0.0,0,1,3
9,10,marijuana_driving,1.0,0,0,3
10,11,furniture,0.0,0,0,3
11,12,distracted_driving,0.0,0,0,3
12,13,drunk_driving,0.0,0,1,3
13,14,pizza,0.0,0,0,3
14,15,education_donation,0.0,0,0,3
15,16,smartphone,0.0,0,0,3
16,17,underage_drinking,0.0,0,0,3
17,18,burger,0.0,0,0,3
18,19,lawyer,3.0,0,0,3
19,20,drugged_driving,0.0,0,1,3
