,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,disobey_vape,3,1,1,1
1,2,education_donation,2,0,0,1
2,3,coffee,1,0,0,1
3,4,buckle_up,3,0,0,1
4,5,burger,2,1,1,1
5,6,smartphone,2,0,0,1
6,7,underage_drinking,3,1,1,1
7,8,binge_drinking,2,1,1,1
8,9,lawyer,2,0,0,1
9,10,drugged_driving,4,0,0,1
10,11,hotel,1,0,0,1
11,12,pizza,3,0,0,1
12,13,marijuana_driving,5,0,0,1
13,14,brunch,2,1,1,1
14,15,distracted_driving,4,1,1,1
15,16,furniture,2,0,0,1
16,17,texting_driving,4,1,1,1
17,18,stop_smoking,5,1,1,1
18,19,drunk_driving,2,0,0,1
19,20,salad,4,0,0,1
