,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,disobey_vape,4.0,0,1,1
1,2,underage_drinking,5.0,0,1,1
2,3,burger,5.0,0,1,1
3,4,furniture,7.0,0,0,1
4,5,stop_smoking,3.0,0,1,1
5,6,coffee,4.0,0,0,1
6,7,distracted_driving,3.0,0,0,1
7,8,lawyer,2.0,0,1,1
8,9,salad,2.0,1,1,1
9,10,drugged_driving,0.0,0,0,1
10,11,buckle_up,6.0,1,1,1
11,12,brunch,1.0,0,1,1
12,13,marijuana_driving,6.0,1,1,1
13,14,drunk_driving,1.0,0,0,1
14,15,texting_driving,6.0,1,1,1
15,16,hotel,1.0,0,1,1
16,17,binge_drinking,5.0,1,0,1
17,18,education_donation,3.0,1,1,1
18,19,pizza,4.0,0,1,1
19,20,smartphone,4.0,0,0,1
