,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,education_donation,1.0,0,0,0
1,2,disobey_vape,3.0,0,1,0
2,3,drugged_driving,3.0,0,1,0
3,4,distracted_driving,1.0,0,0,0
4,5,brunch,5.0,1,1,0
5,6,hotel,2.0,0,0,0
6,7,coffee,5.0,0,1,0
7,8,marijuana_driving,2.0,1,0,0
8,9,underage_drinking,2.0,0,1,0
9,10,furniture,2.0,0,0,0
10,11,smartphone,1.0,0,0,0
11,12,texting_driving,2.0,1,1,0
12,13,drunk_driving,0.0,1,0,0
13,14,salad,1.0,1,1,0
14,15,lawyer,2.0,0,0,0
15,16,pizza,3.0,0,0,0
16,17,stop_smoking,5.0,1,1,0
17,18,binge_drinking,2.0,0,1,0
18,19,burger,2.0,0,1,0
19,20,buckle_up,1.0,0,1,0
