,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,pizza,1.0,0,0,0
1,2,texting_driving,1.0,1,0,0
2,3,marijuana_driving,1.0,0,1,0
3,4,binge_drinking,2.0,0,1,0
4,5,smartphone,1.0,0,1,0
5,6,coffee,0.0,0,1,0
6,7,lawyer,1.0,0,0,0
7,8,brunch,1.0,1,1,0
8,9,education_donation,1.0,0,1,0
9,10,distracted_driving,1.0,1,1,0
10,11,stop_smoking,1.0,0,0,0
11,12,furniture,1.0,0,1,0
12,13,underage_drinking,2.0,0,1,0
13,14,hotel,1.0,0,1,0
14,15,disobey_vape,1.0,1,1,0
15,16,burger,4.0,1,1,0
16,17,buckle_up,0.0,1,1,0
17,18,drugged_driving,1.0,1,1,0
18,19,salad,2.0,0,1,0
19,20,drunk_driving,0.0,1,0,0
