,position_index,billboard_image_at_position_text,fix_bill,recall,recognition
0,1,burger,1,1,1
1,2,smartphone,2,0,1
2,3,underage_drinking,2,0,0
3,4,brunch,2,0,1
4,5,drunk_driving,1,1,1
5,6,buckle_up,1,0,1
6,7,salad,2,0,0
7,8,lawyer,4,0,1
8,9,drugged_driving,4,1,1
9,10,hotel,4,0,0
10,11,coffee,2,0,1
11,12,binge_drinking,2,0,1
12,13,pizza,1,1,1
13,14,disobey_vape,3,0,1
14,15,texting_driving,4,0,1
15,16,education_donation,4,0,1
16,17,stop_smoking,7,0,1
17,18,distracted_driving,2,0,1
18,19,marijuana_driving,3,0,1
19,20,furniture,1,0,0
