,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,marijuana_driving,3.0,0,1,0
1,2,smartphone,3.0,0,1,0
2,3,lawyer,3.0,0,1,0
3,4,education_donation,2.0,0,1,0
4,5,burger,2.0,1,1,0
5,6,underage_drinking,2.0,0,1,0
6,7,binge_drinking,4.0,0,1,0
7,8,furniture,1.0,1,1,0
8,9,buckle_up,3.0,1,1,0
9,10,distracted_driving,1.0,0,1,0
10,11,drugged_driving,1.0,1,1,0
11,12,disobey_vape,4.0,1,1,0
12,13,salad,2.0,0,1,0
13,14,texting_driving,0.0,0,1,0
14,15,brunch,1.0,0,1,0
15,16,pizza,1.0,1,1,0
16,17,stop_smoking,1.0,1,1,0
17,18,coffee,3.0,1,1,0
18,19,drunk_driving,2.0,1,1,0
19,20,hotel,2.0,0,1,0
