,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,texting_driving,0.0,0,0,0
1,2,disobey_vape,1.0,0,0,0
2,3,burger,0.0,1,1,0
3,4,drunk_driving,0.0,0,0,0
4,5,coffee,1.0,0,0,0
5,6,drugged_driving,0.0,0,0,0
6,7,smartphone,0.0,0,0,0
7,8,salad,2.0,0,0,0
8,9,stop_smoking,1.0,0,0,0
9,10,furniture,2.0,0,0,0
10,11,pizza,6.0,0,1,0
11,12,marijuana_driving,3.0,0,0,0
12,13,binge_drinking,1.0,0,0,0
13,14,lawyer,2.0,0,1,0
14,15,education_donation,3.0,0,1,0
15,16,distracted_driving,0.0,0,0,0
16,17,underage_drinking,1.0,0,0,0
17,18,buckle_up,2.0,0,1,0
18,19,brunch,0.0,0,0,0
19,20,hotel,5.0,0,0,0
