,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,texting_driving,0.0,0,0,0
1,2,smartphone,1.0,0,1,0
2,3,hotel,5.0,0,1,0
3,4,stop_smoking,2.0,1,1,0
4,5,binge_drinking,4.0,1,1,0
5,6,furniture,4.0,1,1,0
6,7,distracted_driving,2.0,1,1,0
7,8,burger,1.0,0,1,0
8,9,salad,3.0,0,0,0
9,10,pizza,1.0,0,1,0
10,11,lawyer,1.0,0,1,0
11,12,drunk_driving,1.0,0,1,0
12,13,disobey_vape,2.0,0,1,0
13,14,marijuana_driving,1.0,1,1,0
14,15,brunch,1.0,0,1,0
15,16,drugged_driving,1.0,0,1,0
16,17,buckle_up,0.0,1,1,0
17,18,education_donation,1.0,0,1,0
18,19,coffee,4.0,0,1,0
19,20,underage_drinking,2.0,0,0,0
