,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,marijuana_driving,1,0,1,1
1,2,stop_smoking,4,0,1,1
2,3,pizza,2,1,1,1
3,4,texting_driving,2,0,1,1
4,5,drunk_driving,1,0,0,1
5,6,drugged_driving,2,0,1,1
6,7,salad,2,0,1,1
7,8,disobey_vape,3,0,1,1
8,9,brunch,4,1,1,1
9,10,binge_drinking,2,1,1,1
10,11,distracted_driving,4,0,1,1
11,12,burger,3,0,1,1
12,13,coffee,4,0,1,1
13,14,smartphone,1,0,0,1
14,15,furniture,4,0,1,1
15,16,buckle_up,1,0,1,1
16,17,lawyer,2,1,1,1
17,18,education_donation,4,0,1,1
18,19,underage_drinking,3,0,1,1
19,20,hotel,5,0,1,1
