,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,marijuana_driving,1,1,1,0
1,2,coffee,7,0,1,0
2,3,pizza,4,0,1,0
3,4,smartphone,4,0,0,0
4,5,furniture,4,0,1,0
5,6,drugged_driving,2,0,1,0
6,7,drunk_driving,2,1,0,0
7,8,stop_smoking,6,1,0,0
8,9,distracted_driving,4,1,0,0
9,10,texting_driving,2,0,1,0
10,11,buckle_up,6,1,1,0
11,12,hotel,1,0,0,0
12,13,disobey_vape,3,0,0,0
13,14,burger,5,0,1,0
14,15,underage_drinking,6,0,1,0
15,16,lawyer,3,1,1,0
16,17,brunch,6,0,1,0
17,18,education_donation,6,0,1,0
18,19,binge_drinking,3,0,1,0
19,20,salad,5,0,0,0
