,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,texting_driving,1.0,0,0,1
1,2,drunk_driving,0.0,0,0,1
2,3,pizza,1.0,0,0,1
3,4,hotel,0.0,0,0,1
4,5,coffee,0.0,0,0,1
5,6,underage_drinking,0.0,0,0,1
6,7,furniture,0.0,0,0,1
7,8,stop_smoking,1.0,0,0,1
8,9,smartphone,0.0,0,0,1
9,10,burger,1.0,1,1,1
10,11,marijuana_driving,2.0,1,0,1
11,12,lawyer,1.0,0,0,1
12,13,salad,0.0,0,0,1
13,14,binge_drinking,0.0,0,0,1
14,15,education_donation,0.0,0,0,1
15,16,brunch,0.0,0,0,1
16,17,disobey_vape,1.0,1,1,1
17,18,drugged_driving,0.0,0,0,1
18,19,distracted_driving,4.0,0,0,1
19,20,buckle_up,1.0,1,1,1
