,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,marijuana_driving,4,0,0,0
1,2,underage_drinking,5,0,0,0
2,3,hotel,3,0,0,0
3,4,smartphone,3,0,1,0
4,5,drunk_driving,4,0,0,0
5,6,binge_drinking,3,0,0,0
6,7,distracted_driving,5,0,0,0
7,8,texting_driving,3,0,0,0
8,9,coffee,4,1,1,0
9,10,furniture,2,0,0,0
10,11,brunch,5,0,1,0
11,12,buckle_up,4,1,1,0
12,13,drugged_driving,3,1,1,0
13,14,education_donation,3,0,0,0
14,15,burger,4,0,1,0
15,16,salad,4,1,1,0
16,17,pizza,1,1,1,0
17,18,lawyer,2,0,1,0
18,19,disobey_vape,4,0,1,0
19,20,stop_smoking,4,1,1,0
