,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,disobey_vape,1.0,0,0,0
1,2,binge_drinking,2.0,0,1,0
2,3,coffee,2.0,0,1,0
3,4,furniture,1.0,0,0,0
4,5,burger,1.0,0,0,0
5,6,salad,1.0,0,1,0
6,7,texting_driving,0.0,0,0,0
7,8,hotel,3.0,0,1,0
8,9,education_donation,1.0,0,1,0
9,10,drunk_driving,2.0,1,0,0
10,11,drugged_driving,2.0,0,0,0
11,12,smartphone,3.0,0,0,0
12,13,lawyer,1.0,0,0,0
13,14,buckle_up,1.0,0,1,0
14,15,distracted_driving,2.0,0,0,0
15,16,stop_smoking,1.0,0,0,0
16,17,underage_drinking,1.0,0,0,0
17,18,brunch,1.0,0,1,0
18,19,pizza,2.0,1,1,0
19,20,marijuana_driving,4.0,0,1,0
