,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,sum_fa
0,1,drugged_driving,2,0,1,0
1,2,buckle_up,1,1,1,0
2,3,smartphone,1,0,0,0
3,4,brunch,2,0,1,0
4,5,burger,1,0,0,0
5,6,underage_drinking,2,0,1,0
6,7,marijuana_driving,1,0,1,0
7,8,salad,1,0,1,0
8,9,binge_drinking,5,0,0,0
9,10,drunk_driving,2,1,1,0
10,11,pizza,2,1,1,0
11,12,stop_smoking,3,1,1,0
12,13,furniture,2,0,1,0
13,14,education_donation,3,0,1,0
14,15,coffee,1,0,0,0
15,16,texting_driving,2,0,1,0
16,17,hotel,2,0,1,0
17,18,lawyer,3,1,1,0
18,19,disobey_vape,2,1,1,0
19,20,distracted_driving,2,0,1,0
