,position_index,billboard_image_at_position_text,fix_bill,recall,recognition,subject,condition,fix_binarized
0,1,texting_driving,2.0,0,1,sub001,count trash,1.0
1,2,burger,1.0,0,0,sub001,count trash,1.0
2,3,drunk_driving,1.0,0,0,sub001,count trash,1.0
3,4,coffee,1.0,0,0,sub001,count trash,1.0
4,5,hotel,1.0,0,0,sub001,count trash,1.0
5,6,disobey_vape,1.0,1,1,sub001,count trash,1.0
6,7,buckle_up,2.0,1,1,sub001,count trash,1.0
7,8,pizza,1.0,0,1,sub001,count trash,1.0
8,9,lawyer,2.0,0,1,sub001,count trash,1.0
9,10,drugged_driving,1.0,0,0,sub001,count trash,1.0
10,11,smartphone,3.0,0,0,sub001,count trash,1.0
11,12,brunch,2.0,0,1,sub001,count trash,1.0
12,13,distracted_driving,2.0,0,1,sub001,count trash,1.0
13,14,salad,3.0,0,1,sub001,count trash,1.0
14,15,stop_smoking,1.0,1,1,sub001,count trash,1.0
15,16,education_donation,1.0,0,1,sub001,count trash,1.0
16,17,underage_drinking,1.0,0,1,sub001,count trash,1.0
17,18,furniture,3.0,0,1,sub001,count trash,1.0
18,19,marijuana_driving,2.0,0,1,sub001,count trash,1.0
19,20,binge_drinking,1.0,1,1,sub001,count trash,1.0
0,1,education_donation,1.0,0,0,sub002,count trash,1.0
1,2,disobey_vape,3.0,0,1,sub002,count trash,1.0
2,3,drugged_driving,3.0,0,1,sub002,count trash,1.0
3,4,distracted_driving,1.0,0,0,sub002,count trash,1.0
4,5,brunch,5.0,1,1,sub002,count trash,1.0
5,6,hotel,2.0,0,0,sub002,count trash,1.0
6,7,coffee,5.0,0,1,sub002,count trash,1.0
7,8,marijuana_driving,2.0,1,0,sub002,count trash,1.0
8,9,underage_drinking,2.0,0,1,sub002,count trash,1.0
9,10,furniture,2.0,0,0,sub002,count trash,1.0
10,11,smartphone,1.0,0,0,sub002,count trash,1.0
11,12,texting_driving,2.0,1,1,sub002,count trash,1.0
12,13,drunk_driving,0.0,1,0,sub002,count trash,0.0
13,14,salad,1.0,1,1,sub002,count trash,1.0
14,15,lawyer,2.0,0,0,sub002,count trash,1.0
15,16,pizza,3.0,0,0,sub002,count trash,1.0
16,17,stop_smoking,5.0,1,1,sub002,count trash,1.0
17,18,binge_drinking,2.0,0,1,sub002,count trash,1.0
18,19,burger,2.0,0,1,sub002,count trash,1.0
19,20,buckle_up,1.0,0,1,sub002,count trash,1.0
0,1,texting_driving,1.0,0,0,sub003,count trash,1.0
1,2,drunk_driving,0.0,0,0,sub003,count trash,0.0
2,3,pizza,1.0,0,0,sub003,count trash,1.0
3,4,hotel,0.0,0,0,sub003,count trash,0.0
4,5,coffee,0.0,0,0,sub003,count trash,0.0
5,6,underage_drinking,0.0,0,0,sub003,count trash,0.0
6,7,furniture,0.0,0,0,sub003,count trash,0.0
7,8,stop_smoking,1.0,0,0,sub003,count trash,1.0
8,9,smartphone,0.0,0,0,sub003,count trash,0.0
9,10,burger,1.0,1,1,sub003,count trash,1.0
10,11,marijuana_driving,2.0,1,0,sub003,count trash,1.0
11,12,lawyer,1.0,0,0,sub003,count trash,1.0
12,13,salad,0.0,0,0,sub003,count trash,0.0
13,14,binge_drinking,0.0,0,0,sub003,count trash,0.0
14,15,education_donation,0.0,0,0,sub003,count trash,0.0
15,16,brunch,0.0,0,0,sub003,count trash,0.0
16,17,disobey_vape,1.0,1,1,sub003,count trash,1.0
17,18,drugged_driving,0.0,0,0,sub003,count trash,0.0
18,19,distracted_driving,4.0,0,0,sub003,count trash,1.0
19,20,buckle_up,1.0,1,1,sub003,count trash,1.0
0,1,disobey_vape,1.0,0,0,sub004,count trash,1.0
1,2,drunk_driving,1.0,0,0,sub004,count trash,1.0
2,3,furniture,1.0,0,0,sub004,count trash,1.0
3,4,marijuana_driving,0.0,0,0,sub004,count trash,0.0
4,5,burger,2.0,1,1,sub004,count trash,1.0
5,6,coffee,0.0,0,0,sub004,count trash,0.0
6,7,stop_smoking,0.0,0,0,sub004,count trash,0.0
7,8,pizza,0.0,0,0,sub004,count trash,0.0
8,9,drugged_driving,4.0,0,0,sub004,count trash,1.0
9,10,lawyer,2.0,0,0,sub004,count trash,1.0
10,11,brunch,1.0,0,1,sub004,count trash,1.0
11,12,distracted_driving,1.0,0,0,sub004,count trash,1.0
12,13,hotel,1.0,0,0,sub004,count trash,1.0
13,14,binge_drinking,0.0,0,1,sub004,count trash,0.0
14,15,buckle_up,0.0,0,1,sub004,count trash,0.0
15,16,smartphone,0.0,0,0,sub004,count trash,0.0
16,17,salad,1.0,1,1,sub004,count trash,1.0
17,18,underage_drinking,2.0,0,0,sub004,count trash,1.0
18,19,education_donation,1.0,0,0,sub004,count trash,1.0
19,20,texting_driving,1.0,0,0,sub004,count trash,1.0
0,1,hotel,0.0,0,0,sub005,count trash,0.0
1,2,coffee,0.0,0,0,sub005,count trash,0.0
2,3,drunk_driving,0.0,0,0,sub005,count trash,0.0
3,4,binge_drinking,0.0,0,0,sub005,count trash,0.0
4,5,buckle_up,1.0,1,1,sub005,count trash,1.0
5,6,stop_smoking,1.0,0,0,sub005,count trash,1.0
6,7,lawyer,0.0,0,0,sub005,count trash,0.0
7,8,smartphone,0.0,0,0,sub005,count trash,0.0
8,9,distracted_driving,1.0,0,1,sub005,count trash,1.0
9,10,texting_driving,0.0,0,1,sub005,count trash,0.0
10,11,marijuana_driving,0.0,0,0,sub005,count trash,0.0
11,12,brunch,0.0,0,0,sub005,count trash,0.0
12,13,drugged_driving,0.0,0,1,sub005,count trash,0.0
13,14,disobey_vape,0.0,0,1,sub005,count trash,0.0
14,15,pizza,0.0,0,0,sub005,count trash,0.0
15,16,burger,0.0,0,1,sub005,count trash,0.0
16,17,education_donation,0.0,0,0,sub005,count trash,0.0
17,18,furniture,0.0,0,0,sub005,count trash,0.0
18,19,salad,0.0,0,1,sub005,count trash,0.0
19,20,underage_drinking,0.0,0,0,sub005,count trash,0.0
0,1,buckle_up,1.0,0,0,sub006,count trash,1.0
1,2,lawyer,0.0,0,0,sub006,count trash,0.0
2,3,smartphone,0.0,0,0,sub006,count trash,0.0
3,4,distracted_driving,0.0,0,0,sub006,count trash,0.0
4,5,disobey_vape,0.0,0,0,sub006,count trash,0.0
5,6,texting_driving,0.0,0,0,sub006,count trash,0.0
6,7,drugged_driving,0.0,0,0,sub006,count trash,0.0
7,8,binge_drinking,0.0,0,0,sub006,count trash,0.0
8,9,burger,0.0,0,1,sub006,count trash,0.0
9,10,coffee,0.0,0,0,sub006,count trash,0.0
10,11,marijuana_driving,3.0,1,1,sub006,count trash,1.0
11,12,furniture,0.0,0,0,sub006,count trash,0.0
12,13,brunch,0.0,0,0,sub006,count trash,0.0
13,14,education_donation,0.0,0,0,sub006,count trash,0.0
14,15,hotel,0.0,0,0,sub006,count trash,0.0
15,16,underage_drinking,0.0,0,0,sub006,count trash,0.0
16,17,salad,0.0,0,0,sub006,count trash,0.0
17,18,drunk_driving,0.0,0,0,sub006,count trash,0.0
18,19,pizza,0.0,1,1,sub006,count trash,0.0
19,20,stop_smoking,1.0,1,1,sub006,count trash,1.0
0,1,texting_driving,0.0,0,1,sub007,count trash,0.0
1,2,burger,0.0,0,0,sub007,count trash,0.0
2,3,stop_smoking,0.0,0,0,sub007,count trash,0.0
3,4,salad,0.0,0,1,sub007,count trash,0.0
4,5,hotel,0.0,0,0,sub007,count trash,0.0
5,6,buckle_up,1.0,0,0,sub007,count trash,1.0
6,7,drunk_driving,0.0,0,0,sub007,count trash,0.0
7,8,distracted_driving,5.0,0,1,sub007,count trash,1.0
8,9,brunch,1.0,0,0,sub007,count trash,1.0
9,10,coffee,0.0,0,0,sub007,count trash,0.0
10,11,underage_drinking,0.0,0,0,sub007,count trash,0.0
11,12,disobey_vape,2.0,1,1,sub007,count trash,1.0
12,13,drugged_driving,0.0,0,0,sub007,count trash,0.0
13,14,binge_drinking,0.0,0,0,sub007,count trash,0.0
14,15,smartphone,0.0,0,0,sub007,count trash,0.0
15,16,lawyer,0.0,0,0,sub007,count trash,0.0
16,17,pizza,0.0,0,1,sub007,count trash,0.0
17,18,furniture,0.0,0,0,sub007,count trash,0.0
18,19,education_donation,0.0,0,0,sub007,count trash,0.0
19,20,marijuana_driving,0.0,0,0,sub007,count trash,0.0
0,1,stop_smoking,0.0,0,0,sub008,count trash,0.0
1,2,coffee,0.0,0,0,sub008,count trash,0.0
2,3,texting_driving,0.0,0,0,sub008,count trash,0.0
3,4,disobey_vape,0.0,0,1,sub008,count trash,0.0
4,5,buckle_up,0.0,1,1,sub008,count trash,0.0
5,6,hotel,0.0,1,0,sub008,count trash,0.0
6,7,salad,0.0,0,0,sub008,count trash,0.0
7,8,brunch,0.0,0,1,sub008,count trash,0.0
8,9,binge_drinking,0.0,0,1,sub008,count trash,0.0
9,10,marijuana_driving,1.0,0,0,sub008,count trash,1.0
10,11,furniture,0.0,0,0,sub008,count trash,0.0
11,12,distracted_driving,0.0,0,0,sub008,count trash,0.0
12,13,drunk_driving,0.0,0,1,sub008,count trash,0.0
13,14,pizza,0.0,0,0,sub008,count trash,0.0
14,15,education_donation,0.0,0,0,sub008,count trash,0.0
15,16,smartphone,0.0,0,0,sub008,count trash,0.0
16,17,underage_drinking,0.0,0,0,sub008,count trash,0.0
17,18,burger,0.0,0,0,sub008,count trash,0.0
18,19,lawyer,3.0,0,0,sub008,count trash,1.0
19,20,drugged_driving,0.0,0,1,sub008,count trash,0.0
0,1,burger,1.0,1,1,sub009,count trash,1.0
1,2,smartphone,2.0,0,1,sub009,count trash,1.0
2,3,underage_drinking,2.0,0,0,sub009,count trash,1.0
3,4,brunch,2.0,0,1,sub009,count trash,1.0
4,5,drunk_driving,1.0,1,1,sub009,count trash,1.0
5,6,buckle_up,1.0,0,1,sub009,count trash,1.0
6,7,salad,2.0,0,0,sub009,count trash,1.0
7,8,lawyer,4.0,0,1,sub009,count trash,1.0
8,9,drugged_driving,4.0,1,1,sub009,count trash,1.0
9,10,hotel,4.0,0,0,sub009,count trash,1.0
10,11,coffee,2.0,0,1,sub009,count trash,1.0
11,12,binge_drinking,2.0,0,1,sub009,count trash,1.0
12,13,pizza,1.0,1,1,sub009,count trash,1.0
13,14,disobey_vape,3.0,0,1,sub009,count trash,1.0
14,15,texting_driving,4.0,0,1,sub009,count trash,1.0
15,16,education_donation,4.0,0,1,sub009,count trash,1.0
16,17,stop_smoking,7.0,0,1,sub009,count trash,1.0
17,18,distracted_driving,2.0,0,1,sub009,count trash,1.0
18,19,marijuana_driving,3.0,0,1,sub009,count trash,1.0
19,20,furniture,1.0,0,0,sub009,count trash,1.0
0,1,underage_drinking,0.0,0,0,sub010,count trash,0.0
1,2,drunk_driving,0.0,0,0,sub010,count trash,0.0
2,3,buckle_up,0.0,0,1,sub010,count trash,0.0
3,4,smartphone,0.0,0,0,sub010,count trash,0.0
4,5,pizza,2.0,1,1,sub010,count trash,1.0
5,6,furniture,0.0,0,0,sub010,count trash,0.0
6,7,hotel,2.0,0,0,sub010,count trash,1.0
7,8,drugged_driving,2.0,0,1,sub010,count trash,1.0
8,9,education_donation,3.0,0,1,sub010,count trash,1.0
9,10,coffee,2.0,0,0,sub010,count trash,1.0
10,11,salad,1.0,0,0,sub010,count trash,1.0
11,12,burger,2.0,0,0,sub010,count trash,1.0
12,13,distracted_driving,0.0,0,0,sub010,count trash,0.0
13,14,marijuana_driving,1.0,0,0,sub010,count trash,1.0
14,15,lawyer,2.0,0,0,sub010,count trash,1.0
15,16,texting_driving,1.0,0,0,sub010,count trash,1.0
16,17,stop_smoking,4.0,1,0,sub010,count trash,1.0
17,18,disobey_vape,4.0,1,1,sub010,count trash,1.0
18,19,brunch,3.0,1,1,sub010,count trash,1.0
19,20,binge_drinking,1.0,0,0,sub010,count trash,1.0
0,1,furniture,0.0,0,0,sub011,count trash,0.0
1,2,stop_smoking,1.0,0,0,sub011,count trash,1.0
2,3,texting_driving,2.0,0,0,sub011,count trash,1.0
3,4,education_donation,0.0,0,0,sub011,count trash,0.0
