banner,mean_recall,condition,health_commercial,saliency
buckle_up,0.45,count trash,health,0.233906
disobey_vape,0.25,count trash,health,0.286338
drunk_driving,0.2,count trash,health,0.173279
pizza,0.35,count trash,commercial,0.186381
stop_smoking,0.25,count trash,health,0.116156
brunch,0.15,count trash,commercial,0.236289
burger,0.25,count trash,commercial,0.145931
drugged_driving,0.15,count trash,health,0.254816
marijuana_driving,0.3,count trash,health,0.138027
coffee,0.1,count trash,commercial,0.17174
distracted_driving,0,count trash,health,0.221519
salad,0.25,count trash,commercial,0.130931
binge_drinking,0.05,count trash,health,0.166771
lawyer,0,count trash,commercial,0.215016
texting_driving,0.1,count trash,health,0.198763
hotel,0.05,count trash,commercial,0.114437
education_donation,0,count trash,commercial,0.148375
furniture,0,count trash,commercial,0.189225
smartphone,0.05,count trash,commercial,0.095046
underage_drinking,0,count trash,health,0.191555
buckle_up,0.55,free viewing,health,0.233906
disobey_vape,0.55,free viewing,health,0.286338
drunk_driving,0.55,free viewing,health,0.173279
pizza,0.55,free viewing,commercial,0.186381
stop_smoking,0.55,free viewing,health,0.116156
brunch,0.4,free viewing,commercial,0.236289
burger,0.4,free viewing,commercial,0.145931
drugged_driving,0.4,free viewing,health,0.254816
marijuana_driving,0.4,free viewing,health,0.138027
coffee,0.3,free viewing,commercial,0.17174
distracted_driving,0.3,free viewing,health,0.221519
salad,0.3,free viewing,commercial,0.130931
binge_drinking,0.25,free viewing,health,0.166771
lawyer,0.25,free viewing,commercial,0.215016
texting_driving,0.25,free viewing,health,0.198763
hotel,0.15,free viewing,commercial,0.114437
education_donation,0.1,free viewing,commercial,0.148375
furniture,0.1,free viewing,commercial,0.189225
smartphone,0.05,free viewing,commercial,0.095046
underage_drinking,0.05,free viewing,health,0.191555
