subject,position_index,fix_bill,recall,recognition,condition,recall_rate,recognition_rate
sub001,210,32.0,4,14,count trash,0.2,0.7
sub002,210,45.0,6,11,count trash,0.3,0.55
sub003,210,13.0,4,3,count trash,0.2,0.15
sub004,210,19.0,2,5,count trash,0.1,0.25
sub005,210,3.0,1,7,count trash,0.05,0.35
sub006,210,5.0,3,4,count trash,0.15,0.2
sub007,210,9.0,1,5,count trash,0.05,0.25
sub008,210,4.0,2,6,count trash,0.1,0.3
sub009,210,52.0,4,16,count trash,0.2,0.8
sub010,210,30.0,4,6,count trash,0.2,0.3
sub011,210,7.0,1,3,count trash,0.05,0.15
sub012,210,30.0,1,5,count trash,0.05,0.25
sub013,210,46.0,7,9,count trash,0.35,0.45
sub014,210,1.0,1,4,count trash,0.05,0.2
sub015,210,6.0,2,2,count trash,0.1,0.1
sub016,210,32.0,2,9,count trash,0.1,0.45
sub017,210,30.0,3,6,count trash,0.15,0.3
sub018,210,23.0,4,9,count trash,0.2,0.45
sub019,210,11.0,2,8,count trash,0.1,0.4
sub020,210,37.0,5,10,count trash,0.25,0.5
sub021,210,42.0,9,14,free viewing,0.45,0.7
sub022,210,30.0,5,13,free viewing,0.25,0.65
sub023,210,41.0,9,20,free viewing,0.45,1.0
sub024,210,27.0,8,13,free viewing,0.4,0.65
sub025,210,101.0,4,10,free viewing,0.2,0.5
sub026,210,23.0,8,15,free viewing,0.4,0.75
sub027,210,98.0,6,19,free viewing,0.3,0.95
sub028,210,56.0,8,8,free viewing,0.4,0.4
sub029,210,57.0,9,19,free viewing,0.45,0.95
sub030,210,40.0,6,16,free viewing,0.3,0.8
sub031,210,35.0,5,12,free viewing,0.25,0.6
sub032,210,70.0,6,11,free viewing,0.3,0.55
sub033,210,54.0,4,18,free viewing,0.2,0.9
sub034,210,39.0,6,18,free viewing,0.3,0.9
sub035,210,35.0,6,12,free viewing,0.3,0.6
sub036,210,80.0,6,13,free viewing,0.3,0.65
sub037,210,75.0,7,15,free viewing,0.35,0.75
sub038,210,72.0,6,13,free viewing,0.3,0.65
sub039,210,37.0,6,17,free viewing,0.3,0.85
sub040,210,45.0,5,15,free viewing,0.25,0.75
