seconds 	point x 	point y 	point z 	position x	position y	position z	pupil diameter	flag    	

0.08    	-1.97   	0.27    	63.12   	-3.07   	2.08    	0.31    	3.07    	-       	
0.24    	5.09    	0.25    	197.20  	-3.07   	2.08    	0.31    	3.08    	-       	
0.30    	4.10    	0.24    	170.12  	-3.07   	2.08    	0.31    	3.13    	-       	
0.37    	4.54    	0.24    	179.12  	-3.07   	2.08    	0.31    	3.19    	-       	
0.40    	-12.06  	4.75    	50.79   	-3.07   	2.08    	0.31    	3.23    	-       	
0.43    	-12.70  	5.00    	50.62   	-3.07   	2.08    	0.31    	3.24    	gaze started: billboard_image_1	
0.46    	-13.40  	5.05    	50.43   	-3.07   	2.08    	0.31    	3.24    	-       	
0.48    	-13.32  	5.07    	50.45   	-3.07   	2.08    	0.31    	3.23    	-       	
0.51    	-13.31  	5.03    	50.45   	-3.07   	2.08    	0.31    	3.24    	-       	
0.54    	-13.34  	5.00    	50.44   	-3.07   	2.08    	0.31    	3.24    	-       	
0.56    	-13.44  	5.08    	50.42   	-3.07   	2.08    	0.31    	3.26    	-       	
0.59    	-13.39  	5.10    	50.43   	-3.07   	2.08    	0.31    	3.27    	-       	
0.61    	-13.32  	5.06    	50.45   	-3.07   	2.08    	0.31    	3.28    	-       	
0.64    	-13.42  	4.97    	50.42   	-3.07   	2.08    	0.31    	3.29    	-       	
0.67    	0.00    	0.00    	0.00    	-3.07   	2.08    	0.31    	3.30    	-       	
0.69    	-14.85  	4.66    	50.04   	-3.07   	2.08    	0.31    	3.33    	-       	
0.71    	-14.80  	4.70    	50.05   	-3.07   	2.08    	0.31    	3.32    	gaze started: billboard_image_1	
0.74    	-14.79  	4.66    	50.06   	-3.07   	2.08    	0.31    	3.30    	-       	
0.77    	-14.78  	4.61    	50.06   	-3.07   	2.08    	0.31    	3.31    	-       	
0.79    	-14.78  	4.62    	50.06   	-3.07   	2.08    	0.31    	3.31    	-       	
0.82    	-14.78  	4.61    	50.06   	-3.07   	2.08    	0.31    	3.30    	-       	
