,not_fixated_recalled,fixated_recalled,not_fixated_recognized,fixated_recognized,subject,condition
0,0.0,0.2,0.0,0.7,sub001,count trash
1,0.05,0.25,0.0,0.55,sub002,count trash
2,0.0,0.2,0.0,0.15,sub003,count trash
3,0.0,0.1,0.1,0.15,sub004,count trash
4,0.0,0.05,0.25,0.1,sub005,count trash
5,0.05,0.1,0.1,0.1,sub006,count trash
6,0.0,0.05,0.15,0.1,sub007,count trash
7,0.1,0.0,0.3,0.0,sub008,count trash
8,0.0,0.2,0.0,0.8,sub009,count trash
9,0.0,0.2,0.05,0.25,sub010,count trash
10,0.0,0.05,0.1,0.05,sub011,count trash
11,0.05,0.0,0.05,0.2,sub012,count trash
12,0.0,0.35,0.0,0.45,sub013,count trash
13,0.05,0.0,0.2,0.0,sub014,count trash
14,0.0,0.1,0.0,0.1,sub015,count trash
15,0.0,0.1,0.0,0.45,sub016,count trash
16,0.0,0.15,0.05,0.25,sub017,count trash
17,0.05,0.15,0.1,0.35,sub018,count trash
18,0.05,0.05,0.1,0.3,sub019,count trash
19,0.0,0.25,0.0,0.5,sub020,count trash
20,0.0,0.45,0.0,0.7,sub021,free viewing
21,0.0,0.25,0.1,0.55,sub022,free viewing
22,0.0,0.45,0.05,0.95,sub023,free viewing
23,0.1,0.3,0.25,0.4,sub024,free viewing
24,0.0,0.2,0.0,0.5,sub025,free viewing
25,0.1,0.3,0.1,0.65,sub026,free viewing
26,0.0,0.3,0.0,0.95,sub027,free viewing
27,0.0,0.4,0.0,0.4,sub028,free viewing
28,0.05,0.4,0.05,0.9,sub029,free viewing
29,0.0,0.3,0.0,0.8,sub030,free viewing
30,0.05,0.2,0.1,0.5,sub031,free viewing
31,0.0,0.3,0.0,0.55,sub032,free viewing
32,0.0,0.2,0.0,0.9,sub033,free viewing
33,0.1,0.2,0.4,0.5,sub034,free viewing
34,0.05,0.25,0.05,0.55,sub035,free viewing
35,0.0,0.3,0.0,0.65,sub036,free viewing
36,0.0,0.35,0.0,0.75,sub037,free viewing
37,0.0,0.3,0.0,0.65,sub038,free viewing
38,0.05,0.25,0.05,0.8,sub039,free viewing
39,0.0,0.25,0.0,0.75,sub040,free viewing
